,,Millimeters,,,,,,,,,
Game Title,# Cards,Width,Length,Type of Sleeve,# Packs,,,,,,
Face Off,40,63,88,Chimera (Orange),1,,,,,,
FaceEater,192,63,88,Card Game (Green),2,,,,,,
Fairy Land,135,61,112,"""Dwarf King"" French Tarot Sized (Magnum Platinum)",2,,,,,,
Fairy Tale (Zman),100,57.5,89,Chimera (Orange),1,,,,,,
Fairytale Gloom,110,63,88,Card Game (Green),2,,,,,,
Falling,56,57,89,Chimera (Orange),1,,,,,,
Falling Sky: The Gallic Revolt Against Caesar,77,63,88,Card Game (Green),1,,,,,,
Fallout (Small Cards),112,41,63,Mini USA (Yellow),2,,,,,,
Fallout (Standrd Cards),175,56,88,Standard USA (Purple),2,,,,,,
Famiglia,60,56,100,?,1,,,,,,
Familienbande,70,54,80,Yucatan Narrow Card Sleeves  (Trim),1,,,,,,
Family business,112,57,89,Chimera (Orange),2,,,,,,
Family Business (Mayfair),112,63,88,Card Game (Green),2,,,,,,
Family Fluxx Card Game,56,56,87,Standard USA (Purple),1,,,,,,
Fantahzee: Hordes & Heroes,174,63,88,Card Game (Green),2,,,,,,
Fantastiqa,244,63,88,Card Game (Green),3,,,,,,
Fantastiqa + expansions,298,63,88,Card Game (Green),3,,,,,,
Fantasy Business,75,56,87,Standard USA (Purple),1,,,,,,
Fantasy Frontier,35,70,70,Small Square,1,,,,,,
Far Space Foundry,70,63,88,Card Game (Green),1,,,,,,
Faras,30,?,?,?,1,,,,,,
Farmageddon,118,63,88,Card Game (Green),2,,,,,,
Fast & Furious: Full Throttle,134,63,88,Card Game (Green),2,,,,,,
Fast Flowing Forest Fellers,90,??,??,?,1,,,,,,
Fate of the Elder Gods (Large cards),32,70,120,Custom 7100  (War of the Ring),1,,,,,,
Fate of the Elder Gods (Small cards),127,45,68,Mini Euro Sleeves,2,,,,,,
Fate of the Elder Gods (Square Cards),20,70,70,Small Square,1,,,,,,
Fate of the Norns: Gulveig,28,63,88,Card Game (Green),,,,,,,
Fauna,180,80,120,Magnum Gold,2,,,,,,
Felinia,55,59,91,Euro Size Card Sleeves,1,,,,,,
Felinia,55,59,91,Euro Size Card Sleeves,1,,,,,,
Felix: The Cat in the Sack,55,87,112,Magnum Silver,1,,,,,,
Ferox,140,63,88,Card Game (Green),2,,,,,,
Feudality,50,59,91,Euro Size Card Sleeves,1,,,,,,
Feudo,80,45,68,Mini Euro Sleeves,1,,,,,,
"Few Acres of Snow, A",110,59,91,Euro Size Card Sleeves,2,,,,,,
Fideltas,75,57,89,Chimera (Orange),1,,,,,,
Fief: France 1429,58,45,68,Mini Euro Sleeves,1,,,,,,
Field of Glory: The Card Game,107,63,88,Card Game (Green),2,,,,,,
Fields of Fire,220,??,??,?,3,,,,,,
Fields of Green,171,70,70,Small Square,2,,,,,,
Fields of Green: Kickstarter promos,53,70,70,Small Square,1,,,,,,
Fifth Avenue,110,59,91,Euro Size Card Sleeves,2,,,,,,
Figaro,60,56,87,Standard USA (Purple),1,,,,,,
Fight for Olympus ,98,58,89,Euro Size Card Sleeves,1,,,,,,
Fightball,330,63,88,Card Game (Green),4,,,,,,
Fighting Formations: Grossdeutschland Motorized Infantry Division,55,63,89,Custom Police Precinct,1,,,,,,
Fiji,37,63,88,Chimera (Orange),1,,,,,,
Final Fantasy TCG,,63,88,Card Game (Green),,,,,,,
Fire and Axe,50,63,88,Card Game (Green),1,,,,,,
Fire and Axe: A Viking Saga,60,56,87,Standard USA (Purple),1,,,,,,
Fire in the Lake,130,63,88,Card Game (Green),2,,,,,,
Fireball Island,48,56,87,Standard USA (Purple),1,,,,,,
Firefly: Out to the Black,87,63,88,Card Game (Green),1,,,,,,
Firefly: Shiny Dice,75,63,88,Card Game (Green),1,,,,,,
Firefly: The Game,387,63,88,Card Game (Green),4,,,,,,
Firenze,60,58,89,Euro Size Card Sleeves,1,,,,,,
Fireteam Zero  (Large Cards),135,63,88,Card Game (Green),2,,,,,,
Fireteam Zero  (Small Cards),48,45,68,Mini Euro Sleeves,1,,,,,,
First Class ,327,45,68,Mini Euro Sleeves,4,,,,,,
First Martians: Adventures on the Red Planet,150,63,88,Card Game (Green),2,,,,,,
Fishing For Terrorists (Slugfest),88,63,88,Card Game (Green),1,,,,,,
Fist of Dragonstones,36,56,87,Standard USA (Purple),1,,,,,,
Fistful of Dinero,140,63,88,Card Game (Green),2,,,,,,
Five Fingered Severance,54,63,88,Card Game (Green),1,,,,,,
Five Fingered Severance,73,41,63,Mini USA (Yellow),1,,,,,,
Five Tribes ( Resource cards),54,45,68,Mini Euro Sleeves,1,,,,,,
Five Tribes (djinn cards),22,80,80,Medium Square - Red,1,,,,,,
Flag Dash,44,56,87,Standard USA (Purple),1,,,,,,
Flamme Rouge,190,56,87,Standard USA (Purple),2,,,,,,
Flandern 1302,72,45,68,Mini Euro Sleeves,1,,,,,,
Flaschenteufel,40,59,91,Euro Size Card Sleeves,1,,,,,,
Flash Duel,55,63,88,Card Game (Green),1,,,,,,
Flash Duel: Second Edition,128,63,88,Card Game (Green),2,,,,,,
Flash Point: Fire & Rescue,6,63,88,Card Game (Green),1,,,,,,
Flash Point: Fire & Rescue,16,80,120,Magnum Gold,1,,,,,,
Fleet,112,63,88,Card Game (Green),2,,,,,,
Fleet,33,80,120,Magnum Gold,1,,,,,,
Fleet + expansion,215,63,88,Card Game (Green),3,,,,,,
Fleet + expansion,45,80,120,Magnum Gold,1,,,,,,
Fleet Wharfside,111,63,88,Card Game (Green),2,,,,,,
Fleet: Arctic Bounty,115,63,88,Card Game (Green),2,,,,,,
Fleet: Arctic Bounty,19,80,120,Magnum Gold,1,,,,,,
Flinch,150,56,87,Standard USA (Purple),2,,,,,,
Floating Market,65,45,68,Mini Euro Sleeves,1,,,,,,
Florenza,55,63,88,Card Game (Green),1,,,,,,
Florenza: The Card Game (2013),110,45,68,Mini Euro Sleeves,2,,,,,,
Florenza: The Card Game (2013),220,59,91,Euro Size Card Sleeves,3,,,,,,
Florenzia (2010) (sp?),52,63,88,Card Game (Green),1,,,,,,
FlowerFall,60,63,88,Card Game (Green),1,,,,,,
Fluxx 1.0 Edition,80,56,87,Standard USA (Purple),1,,,,,,
Fluxx 2.0 Edition,85,56,87,Standard USA (Purple),1,,,,,,
Fluxx 3.0 Edition,84,56,87,Standard USA (Purple),1,,,,,,
Fluxx 4.0 Edition,100,56,87,Standard USA (Purple),1,,,,,,
Fluxx Card Game,100,56,87,Standard USA (Purple),1,,,,,,
Fluxx en Espa?ol,56,56,87,Standard USA (Purple),1,,,,,,
Fog of Love  (Large Cards),120,80,120,Magnum Gold,2,,,,,,
Fog of Love  (Small Cards),128,41,63,Mini USA (Yellow),2,,,,,,
Fog of Love ( Medium cards),14,63,88,Card Game (Green),1,,,,,,
Food Chain Magnate,330,56,87,Standard USA (Purple),4,,,,,,
Food Fight,190,63,88,Card Game (Green),2,,,,,,
Food Fight!,64,63,88,Card Game (Green),1,,,,,,
Fool's Gold,215,63,88,Card Game (Green),3,,,,,,
For Sale (Fred Edition),60,63.5,88,Card Game (Green),1,,,,,,
For sale (Gryphon Games Edition),60,63,88,Card Game (Green),1,,,,,,
For Sale (Meeple Virus Edition),60,63,88,Card Game (Green),1,,,,,,
For Sale (Uberplay 2005 Ed),60,58,90,Euro Size Card Sleeves,1,,,,,,
For Sale gryphon Games,60,63,88,Card Game (Green),1,,,,,,
For Sale Meeple VIrus Edition,60,63,88,Card Game (Green),1,,,,,,
for sale Uberplay Edition,60,59,91,Euro Size Card Sleeves,1,,,,,,
For the Crown (First Edition),100,41,64,Mini Chimera (Red),1,,,,,,
For the Crown (First Edition) Expansion Kit 1: Cover of Night,40,41,64,Mini Chimera (Red),1,,,,,,
For the Crown (second Edition),150,63,88,Card Game (Green),2,,,,,,
For the Crown (Second Edition) All the King's Men,50,63,88,Card Game (Green),1,,,,,,
For the Crown (Second Edition) Shock & Awe,50,63,88,Card Game (Green),1,,,,,,
For the People,130,63,88,Card Game (Green),2,,,,,,
For the People,,63,88,Card Game (Green),0,,,,,,
Foragers,53,63,88,Card Game (Green),1,,,,,,
Forbidden Desert,49,63,88,Card Game (Green),1,,,,,,
Forbidden Island,58,63,88,Card Game (Green),1,,,,,,
Forbidden Stars,168,63,88,Card Game (Green),2,,,,,,
Force Ball,55,61,87,?,1,,,,,,
Force Ball,3,63,88,Card Game (Green),1,,,,,,
Forestaurant (Standard cards),96,63,88,Card Game (Green),1,,,,,,
Forestraunt (Small cards),30,41,64,Mini USA (Yellow),1,,,,,,
Forge War,230,63,88,Card Game (Green),3,,,,,,
Forged in Steel,112,63,88,Card Game (Green),2,,,,,,
Forlorn: Hope,21,41,63,Mini USA (Yellow),1,,,,,,
Formula E,72,63,88,Card Game (Green),1,,,,,,
Formula Motor Racing,60,63,88,Card Game (Green),1,,,,,,
Fortress America,30,56,87,Standard USA (Purple),1,,,,,,
Fortuna,56,56,87,Standard USA (Purple),1,,,,,,
Fortune & Glory,370,63,88,Card Game (Green),4,,,,,,
Fortune and Glory: The Cliffhanger Game,358,63,88,Card Game (Green),4,,,,,,
Fortune and Glory: The Cliffhanger Game: Rist of the Crimson Hand,79,63,88,Card Game (Green),1,,,,,,
Founding Fathers,187,63,88,Card Game (Green),2,,,,,,
Founding Fathers,55,63,88,Card Game (Green),1,,,,,,
Founding Fathers,55,63,88,Card Game (Green),1,,,,,,
Frank's Zoo,60,56,87,Standard USA (Purple),1,,,,,,
Freedom in the Galaxy Avalon Hill Edition,140,56,87,Standard USA (Purple),2,,,,,,
Freedom in the Galaxy SPI black map edition,140,50,75,Custom Sails of Glory Sleeves,2,,,,,,
Freedom: The Underground,76,57.5,88,Chimera (Orange),1,,,,,,
Freeloader,,56,87,Standard USA (Purple),0,,,,,,
Freeze (2010),60,57.5,88,Chimera (Orange),1,,,,,,
Freight Train,234,45,68,Mini Euro Sleeves,3,,,,,,
Frenzy,168,57.5,88,Chimera (Orange),2,,,,,,
Fresco,22,45,68,Mini Euro Sleeves,1,,,,,,
"Fresco Expansion Modules 4, 5 and 6",20,45,68,Mini Euro Sleeves,1,,,,,,
"Fresco: Expansion Modules 4, 5 and 6",20,45,68,Mini Euro Sleeves,1,,,,,,
Friday,72,56,100,?,1,,,,,,
Friday,72,??,??,?,1,,,,,,
Friday the 13th,50,56,87,Standard USA (Purple),1,,,,,,
Friedrich,222,57,89,Chimera (Orange),3,,,,,,
Friese'd Landlord,120,56,100,?,2,,,,,,
Friese's Landlord,120,??,??,?,2,,,,,,
Frog Juice,59,63,88,Card Game (Green),1,,,,,,
Frontier Stations,125,63,88,Card Game (Green),2,,,,,,
Frontiers,60,57.5,88,Chimera (Orange),1,,,,,,
Frontline D-Day,165,63,88,Card Game (Green),2,,,,,,
Fruit Fair,54,59,91,Euro Size Card Sleeves,1,,,,,,
Frutti Di Mare,110,57.5,88,Chimera (Orange),2,,,,,,
Fugitive,68,63,88,Card Game (Green),1,,,,,,
Fuji Flush,90,56,87,Standard USA (Purple),1,,,,,,
Funkenschlag,50,80,120,Magnum Gold,1,,,,,,
Funny Friends,140,59,91,Euro Size Card Sleeves,2,,,,,,
FürstenfelB,158,70,70,Small Square,2,,,,,,
Fury of Dracula,220,57.5,88,Chimera (Orange),3,,,,,,
Fury of Dracula (third edition)   (Small Cards),245,58,89,Chimera (Orange),3,,,,,,
Fury of Dracula (third edition)  (Large Cards),55,101,127,?,1,,,,,,
FUSE,76,63,88,Card Game (Green),1,,,,,,
Fuzzy Tiger,45,??,??,?,1,,,,,,
Fuzzy Tiger,45,56,87,Standard USA (Purple),1,,,,,,
Fzzzt! (Gryphon Games Edition 2010),56,59,91,Euro Size Card Sleeves,1,,,,,,
Fzzzt! (Gryphon Games Edition 2010) Expansion pack,16,59,91,Euro Size Card Sleeves,1,,,,,,
Fzzzt! (Suprised Stare Games 2009),56,63.5,88,Card Game (Green),1,,,,,,
Gaïa,111,45,68,Mini Euro Sleeves,2,,,,,,
Galactic Destiny,60,215.5,279,?,1,,,,,,
Galactic Destiny,218,63,88,Card Game (Green),3,,,,,,
Galactic Strike Force ( Ship Panels),15,101.6,152.4,?,1,,,,,,
Galactic Strike Force (Sector Panels),10,127,203,?,1,,,,,,
Galactic Strike Force (Standard),315,63,88,Card Game (Green),4,,,,,,
Galaxy Defenders,76,63.5,88,Card Game (Green),1,,,,,,
Galaxy Defenders Elite Alien Army,10,63.5,88,Card Game (Green),1,,,,,,
Galaxy Trucker : Another Big Expansion,53,57,89,Chimera (Orange),1,,,,,,
Galaxy Trucker (English Edition),62,57,89,Chimera (Orange),1,,,,,,
Galaxy Trucker + all expansions,175,57,89,Chimera (Orange),2,,,,,,
Galaxy Trucker Big Expansion,55,57,89,Chimera (Orange),1,,,,,,
Galaxy Trucker: Anniversary Edition,180,57,89,Chimera (Orange),2,,,,,,
Galaxy Trucker: Even-Steven Cards,5,57,89,Chimera (Orange),1,,,,,,
Galaxy: The Dark Ages,120,63,88,Card Game (Green),2,,,,,,
Game of Thrones CCG,70,57.5,88,Chimera (Orange),1,,,,,,
Game of Thrones CCG + All Expansions,290,57.5,88,Chimera (Orange),3,,,,,,
Game of Thrones CCG: A Clash of Kings Expansion,55,57.5,88,Chimera (Orange),1,,,,,,
Game of Thrones CCG: A Storm of Swords Expansion,165,57.5,88,Chimera (Orange),2,,,,,,
Game of Thrones Character packs,60,63,88,Card Game (Green),1,,,,,,
"Game of Thrones, A (Board Game",81,57.5,88,Chimera (Orange),1,,,,,,
"Game of Thrones, A (Board Game",24,41,64,Mini Chimera (Red),1,,,,,,
Game of Thrones: The Card Game,220,63,88,Card Game (Green),3,,,,,,
Game of Thrones: The Card Game,132,63.5,88,Card Game (Green),2,,,,,,
Game of Thrones: The Card Game Kings of the Sea,180,63.5,88,Card Game (Green),2,,,,,,
Game of Thrones: The card Game Kings of the sea princes of the Sun,180,63,88,Card Game (Green),2,,,,,,
Game of Thrones: The Card Game Kings of the Storm,165,63.5,88,Card Game (Green),2,,,,,,
Game of Thrones: The Card Game Lions of the Rock,165,63.5,88,Card Game (Green),2,,,,,,
Game of Thrones: The Card Game Lords of Winter,165,63.5,88,Card Game (Green),2,,,,,,
"Game of thrones: The card Game lords of winter. Kings of the storm, queen of dragons, lions of the rock",165,63,88,Card Game (Green),2,,,,,,
Game of Thrones: The Card Game Princes of the Sun,120,63.5,88,Card Game (Green),2,,,,,,
Game of Thrones: The Card Game Queen of Dragons,165,63.5,88,Card Game (Green),2,,,,,,
Game of Trains,88,56,87,Standard USA (Purple),1,,,,,,
Gang of Four,66,63.5,88,Card Game (Green),1,,,,,,
Gangster,37,?,?,?,1,,,,,,
Gangster,34,56,87,Standard USA (Purple),1,,,,,,
Garbage Day (Limited Edition),133,63,88,Card Game (Green),2,,,,,,
Garbage Day: Dorm Room Expansion,15,63,88,Card Game (Green),1,,,,,,
Garbage Day: Family Expansion,15,63,88,Card Game (Green),1,,,,,,
Garbage Day: Office Expansion,15,63,88,Card Game (Green),1,,,,,,
Garbage Day: Smelly Expansion,20,63,88,Card Game (Green),1,,,,,,
Garbage Day!,113,63,88,Card Game (Green),2,,,,,,
Garden Dice: The Card Expansion,54,63.5,88,Card Game (Green),1,,,,,,
Gargon,120,56,87,Standard USA (Purple),2,,,,,,
Garibaldi: The Escape,55,63.5,88,Card Game (Green),1,,,,,,
Gates of Loyang,120,54,80,Yucatan Narrow Card Sleeves  (Trim),2,,,,,,
Gathering Storm,144,63,88,Card Game (Green),2,,,,,,
Gauntlet of Fools,90,63.5,88,Card Game (Green),1,,,,,,
Gears of War: The Board Game,168,57.5,88,Chimera (Orange),2,,,,,,
Gears of War: The Board Game,38,41,64,Mini Chimera (Red),1,,,,,,
Gears of War: The Board Game: Mission Pack 1,36,57.5,88,Chimera (Orange),1,,,,,,
"Geister, Geister, Schatzsuchmeister!",19,56,87,Standard USA (Purple),1,,,,,,
Gem Dealer,96,63.5,88,Card Game (Green),1,,,,,,
Gem Rush ( Square),48,76.5,76.5,Medium Square - Red,1,,,,,,
Gem Rush ( Standard),50,63,88,Card Game (Green),1,,,,,,
Generalship : from the 4th century B.C. to the 19th century   (Large Cards),,70,120,Custom MDG-7100,0,,,,,,
Generalship : from the 4th century B.C. to the 19th century  (Small Cards),40,45,68,Mini Euro Sleeves,1,,,,,,
Generalship : from the 4th century B.C. to the 19th century (standard cards),104,63,88,Card Game (Green),2,,,,,,
Genesis: Empires and Kingdoms of the Ancient Middle East,55,63,88,Card Game (Green),1,,,,,,
Genji,106,57.5,88,Chimera (Orange),2,,,,,,
Genoa,60,45,68,Mini Euro Sleeves,1,,,,,,
Geronimo,81,57,89,Chimera (Orange),1,,,,,,
Get Bit,43,63,88,Card Game (Green),1,,,,,,
Get Bit! Collectors Edition,192,63,88,Card Game (Green),2,,,,,,
Get Bit! Collectors Edition Hold Your Breath! 5/6 Player Expansion,20,63,88,Card Game (Green),1,,,,,,
Get Bit! Sharkspansion,19,63,88,Card Game (Green),,,,,,,
Get Lucky,72,63,88,Card Game (Green),1,,,,,,
Ghooost!,62,87,112,Magnum Silver,1,,,,,,
Ghost Blitz,60,59,91,Euro Size Card Sleeves,1,,,,,,
Ghost Chase,61,56,87,Standard USA (Purple),1,,,,,,
Ghost Hunter 13: 7 Great Sins,154,58,89,Euro Size Card Sleeves,2,,,,,,
Ghost Hunter 13: Diablo de Laplace,159,58,89,Euro Size Card Sleeves,2,,,,,,
Ghost Hunter 13: The Tile Game ,184,58,89,Euro Size Card Sleeves,2,,,,,,
Ghost Stories,65,57,89,Chimera (Orange),1,,,,,,
Ghost Stories: Black Secret Expansion,40,56,87,Standard USA (Purple),1,,,,,,
Ghost Stories: White Moon,16,56,87,Standard USA (Purple),1,,,,,,
Giga-Robo,205,63,88,Card Game (Green),3,,,,,,
Giganten,40,45,68,Mini Euro Sleeves,1,,,,,,
Gingerdead House ,205,63,88,Card Game (Green),3,,,,,,
Gingerdead House Star Smores,14,63,88,Card Game (Green),1,,,,,,
Gingerdead House Walking Bread,10,63,88,Card Game (Green),1,,,,,,
Ginkopolis,100,59,91,Euro Size Card Sleeves,1,,,,,,
Giro Galoppo,30,57,89,Chimera (Orange),1,,,,,,
Give Me The Brain,112,57,89,Chimera (Orange),2,,,,,,
Gladiatori,218,57,89,Chimera (Orange),3,,,,,,
Glass Road,60,57,89,Chimera (Orange),1,,,,,,
Glastonbury,106,70,70,Small Square,2,,,,,,
Glenn Drover's Empire:s Age of Discovery - Dexluxe Edition,16,63,88,Card Game (Green),1,,,,,,
Global Domination,110,63,88,Card Game (Green),2,,,,,,
Gloobz ,56,80,80,Medium Square - Red,1,,,,,,
Gloom,110,63,88,Card Game (Green),2,,,,,,
Gloom in Space,108,63,88,Card Game (Green),2,,,,,,
Gloom of Kilforth: A Fantasy Quest Game  (Large Cards),210,63,88,Card Game (Green),3,,,,,,
Gloom of Kilforth: A Fantasy Quest Game  (Small Cards),56,45,68,Mini Euro Sleeves,1,,,,,,
Gloom: Unfortunate Expeditions,55,63,88,Card Game (Green),1,,,,,,
Gloom: Unhappy Homes,55,63,88,Card Game (Green),1,,,,,,
Gloom: Unquiet Dead,55,63,88,Card Game (Green),1,,,,,,
Gloom: Unwelcome Guests,55,63,88,Card Game (Green),1,,,,,,
Gloomhaven  (Standard Cards),727,63,88,Card Game (Green),8,,,,,,
Gloomhaven (Small Cards),975,45,68,Mini Euro Sleeves,10,,,,,,
Gloria Mundi,127,59,91,Euro Size Card Sleeves,2,,,,,,
Gloria Picktoria,110,59,91,Euro Size Card Sleeves,2,,,,,,
Glory to Rome (All English Editions),187,63,88,Card Game (Green),2,,,,,,
Glory to Rome (Cambridge Games Factory 2010 Edition),186,63,88,Card Game (Green),2,,,,,,
Glory to Rome (Cambridge Games Factory Black Box Edition),201,63,88,Card Game (Green),3,,,,,,
Glory to Rome (French Editions),187,59,91,Euro Size Card Sleeves,2,,,,,,
Glory to Rome (I.V Edition),180,63,88,Card Game (Green),2,,,,,,
Glory to Rome Promo Cards,36,63,88,Card Game (Green),1,,,,,,
Glory to Rome: Republic Expansion,21,63,88,Card Game (Green),1,,,,,,
Gnomes of Zavandor The,150,45,68,Mini Euro Sleeves,2,,,,,,
Gnomes of Zavandor The,33,59,91,Euro Size Card Sleeves,1,,,,,,
Go da Cheese!,91,56,87,Standard USA (Purple),1,,,,,,
Go West,80,57,89,Chimera (Orange),1,,,,,,
Goa,120,45,68,Mini Euro Sleeves,2,,,,,,
Goblins,120,59,91,Euro Size Card Sleeves,2,,,,,,
"Goblins Drool, Fairies Rule!",20,67,120,Custom MDG-7100,1,,,,,,
Goblins vs Zombies,106,63,88,Card Game (Green),2,,,,,,
"Goblins, Inc.",123,57,89,Chimera (Orange),2,,,,,,
"Going, Going, Gone!",49,63,88,Card Game (Green),1,,,,,,
Gold West,20,45,68,Mini Euro Sleeves,1,,,,,,
Goldbr?u,82,??,??,?,1,,,,,,
Golden City The,88,59,91,Euro Size Card Sleeves,1,,,,,,
Golden Horn: Von Venedig Nach Konstantinopel,54,45,68,Mini Euro Sleeves,1,,,,,,
Golden Wilderness The,13,66,99,Magnum Copper,1,,,,,,
Golden Wilderness The,135,41,63,Mini USA (Yellow),2,,,,,,
Gomora: Down Town Storyception,54,59,91,Euro Size Card Sleeves,1,,,,,,
Gomora: Down town Storyception Extended Edition,84,59,91,Euro Size Card Sleeves,1,,,,,,
Gonzaga,110,57,87.5,Chimera (Orange),2,,,,,,
Good Cop Bad Cop,40,63,88,Card Game (Green),1,,,,,,
Good Cop Bad Cop: Bombers and Traitors,29,63,88,Card Game (Green),1,,,,,,
Gorechosen (Small cards),28,57,70,?,1,,,,,,
Gorechosen (Standard cards),24,63,88,Card Game (Green),1,,,,,,
Gosu,100,63,88,Card Game (Green),1,,,,,,
GOSU 2 : Tactics,100,63,88,Card Game (Green),1,,,,,,
Gosu: Kamakor,100,63,88,Card Game (Green),1,,,,,,
Graenaland,168,50,75,Custom Sails of Glory Sleeves,2,,,,,,
Granada,110,57,89,Chimera (Orange),2,,,,,,
Grand Austria Hotel,116,59,92,Euro Size Card Sleeves,2,,,,,,
Grand Prix,165,63,88,Card Game (Green),2,,,,,,
Grand Tribunal,110,63,88,Card Game (Green),2,,,,,,
Grave Robbers From Outer Space,120,63,88,Card Game (Green),2,,,,,,
Grave Robbers II: Skippy's Revenge,120,63,88,Card Game (Green),2,,,,,,
Grave Robbers III: Suburban Slashers from Sunnydale Street,120,63,88,Card Game (Green),2,,,,,,
Gravwell: Escape from the 9th Dimension,30,63,88,Card Game (Green),1,,,,,,
Great Chili Cookoff The,75,59,91,Euro Size Card Sleeves,1,,,,,,
Great Dalmuti,80,56,87,Standard USA (Purple),1,,,,,,
Great Heartland Hauning Co. The,81,63,88,Card Game (Green),1,,,,,,
Great Khan Game,162,63,88,Card Game (Green),2,,,,,,
Great Space Race,186,45,68,Mini Euro Sleeves,2,,,,,,
Great Wall Of China,100,57,89,Chimera (Orange),1,,,,,,
Great Zimbabwe The,31,59,91,Euro Size Card Sleeves,1,,,,,,
Greed,80,57,89,Chimera (Orange),1,,,,,,
Greed Incorporated,99,42,63,Mini Chimera (Red),1,,,,,,
Greedy Greedy Goblins,24,63,88,Card Game (Green),1,,,,,,
Greedy Kingdoms,40,?,?,?,1,,,,,,
Greedy Kingdoms,40,?,?,?,1,,,,,,
Green Thumb Cards,122,63,88,Card Game (Green),2,,,,,,
Greenland,60,57,89,Chimera (Orange),1,,,,,,
Greyhawk Wars,153,57,89,Chimera (Orange),2,,,,,,
Grifters (Large cards),20,70,120,Custom 7100  (War of the Ring),1,,,,,,
Grifters (standard cards),60,57,87.5,Chimera (Orange),1,,,,,,
Grimoire,95,63,88,Card Game (Green),1,,,,,,
Grimoire Shuffle,56,63,88,Card Game (Green),1,,,,,,
Grimslingers,280,63,88,Card Game (Green),3,,,,,,
Grimslingers: Duels,60,63,88,Card Game (Green),1,,,,,,
Grog Island,110,45,68,Mini Euro Sleeves,2,,,,,,
Groo: The Game,60,??,??,?,1,,,,,,
Groo: The Game,60,63,88,Card Game (Green),1,,,,,,
Groo: The Game - Expansion Set,55,63,88,Card Game (Green),1,,,,,,
Ground Floor,20,45,68,Mini Euro Sleeves,1,,,,,,
Ground Floor ,20,45,68,Mini Euro Sleeves,1,,,,,,
Ground Floor: Overfunding Achievements,14,45,68,Mini Euro Sleeves,1,,,,,,
Gruff  (Large Cards),22,65,100,Magnum Copper,1,,,,,,
Gruff  (Small Cards),225,63,88,Card Game (Green),3,,,,,,
Guards! Guards! A Discworld Boardgame,166,57,90,Chimera (Orange),2,,,,,,
GUBS: A Game of Wit and Luck,70,63,88,Card Game (Green),1,,,,,,
Guildhadd: Job Faire,150,??,??,?,2,,,,,,
Guildhall,150,63,88,Card Game (Green),2,,,,,,
Guilds of London,126,58,89,Euro Size Card Sleeves,2,,,,,,
Guillotine,110,63,88,Card Game (Green),2,,,,,,
Gunrunners,63,63,88,Card Game (Green),1,,,,,,
Guns & Steel,60,63,88,Card Game (Green),1,,,,,,
Gunship: Asteroids,36,63,88,Card Game (Green),1,,,,,,
Gunship: Crewmates!,18,63,88,Card Game (Green),1,,,,,,
Gunslinger (AH),236,51,67,?,3,,,,,,
Gwent,154,61,112,"""Dwarf King"" French Tarot Sized (Magnum Platinum)",2,,,,,,
Hab & Gut,114,45,65,Mini Euro Sleeves,2,,,,,,
Hacienda,224,45,68,Mini Euro Sleeves,3,,,,,,
Hack Trick,24,61,103,"Magnum Space Card Sleeve: 61 X 103 MM ""Space Alert"" & ""Dungeon Petz"" Sized",1,,,,,,
